"Test Case ID","Module","Scenario","Steps","Expected Result","Priority","Severity","Status","QA Notes","Bug ID","Retest Status","Tested By","Test Date"
"TC-POND-002","Pond Management","Pond creation idempotent on double-tap","1. Fill pond form completely | 2. Double-tap Create Pond before navigation completes","Exactly 1 pond created; operationId dedup returns existing pond; DB count for this name/farm = 1","P0","S1","","","","","",""
"TC-POND-003","Pond Management","FREE tier pond limit blocks 4th pond creation","1. FREE user with 3 ponds | 2. Attempt to create 4th pond","pond_limit_bottom_sheet appears; form not shown; upgrade CTA visible; existing 3 ponds unaffected","P0","S1","","","","","",""
"TC-POND-004","Pond Management","Edit pond seed count mid-cycle updates engine","1. Navigate to Edit Pond | 2. Change seed count from 150K to 120K | 3. Save","Pond updated in DB; next feed recommendation uses 120K for density scaling; existing feed_logs unmodified","P1","S2","","","","","",""
"TC-POND-005","Pond Management","Delete pond cascades all associated data","1. Pond at DOC=45 with full feed/tray/sampling/water data | 2. Tap Delete | 3. Confirm","All records deleted via delete_pond_cascade; pond removed from HomeScreen; KPIs recalculate","P1","S2","","","","","",""
"TC-POND-006","Pond Management","New cycle setup resets DOC and clears cycle data","1. Log final harvest | 2. Tap Start New Cycle | 3. Enter new stocking details | 4. Confirm","DOC resets to 1; cycle tables cleared; 30 new feed_rounds generated; old harvest records preserved","P1","S2","","","","","",""
"TC-POND-007","Pond Management","Seed count above 500K rejected by validation","1. Open Add Pond form | 2. Enter seed count = 600000 | 3. Submit","Validation error: must be between 1000 and 500000; form not submitted; BUG-12 fix confirmed","P2","S3","","","","","",""
"TC-POND-008","Pond Management","Future stocking date shows DOC of 1 not negative","1. Open Add Pond | 2. Set stocking date 3 days in future | 3. Submit","DOC = 1 (clamped, not negative or zero); behavior consistent and communicated clearly in UI","P2","S3","","","","","",""
"TC-DOC-001","DOC Calculation","DOC = 1 on stocking day (1-based formula)","1. Create pond with stocking_date = today (UTC) | 2. Navigate to Overview tab","DOC shows exactly 1 (formula: 0 days elapsed + 1); not 0 and not 2","P0","S1","","","","","",""
"TC-DOC-002","DOC Calculation","DOC = 31 after 30 days have elapsed","1. Pond stocked exactly 30 days ago | 2. Navigate to Overview","DOC = 31 (30 days elapsed + 1); not 30 and not 32; UTC consistency confirmed","P0","S1","","","","","",""
"TC-DOC-003","DOC Calculation","DOC gates blind vs smart feed mode at DOC 30/31","1. Pond A DOC=29; Pond B DOC=31; PRO user | 2. Check feed mode indicator on each","Pond A = blind mode only; Pond B = smart mode with ramp factor 0.75 applied","P0","S1","","","","","",""
"TC-DOC-004","DOC Calculation","Null stocking_date handled gracefully without crash","1. Set stocking_date = NULL in Supabase for a pond | 2. Open affected pond","No crash; error state shown with edit-to-fix CTA; all other ponds unaffected","P0","S1","","","","","",""
"TC-DOC-005","DOC Calculation","DOC increments at correct local midnight boundary","1. Device in IST (UTC+5:30) | 2. Check DOC at 11:30 PM IST | 3. Check DOC at 12:01 AM IST next day","DOC increments at consistent local boundary; no off-by-one across midnight","P1","S2","","","","","",""
"TC-DOC-006","DOC Calculation","Feed schedule highlights today's DOC row","1. Pond at DOC=15 | 2. Navigate to Feed Schedule screen","DOC 15 row highlighted and visible; correct feed amount for DOC 15; 4 meals shown (Hatchery >= DOC 7)","P1","S2","","","","","",""
"TC-DOC-007","DOC Calculation","DOC 186 renders correctly without crash or overflow","1. Set stocking_date = 185 days ago via DB edit | 2. Navigate to pond dashboard","DOC = 186 displayed; feed recommendation valid and within bounds; no UI overflow or crash","P2","S2","","","","","",""
"TC-DOC-008","DOC Calculation","Each pond card on HomeScreen shows its own correct DOC","1. Farm with ponds at DOC 5, 30, 60 | 2. View HomeScreen pond cards","Each card shows its own correct DOC; no cross-pond DOC contamination from state management","P2","S2","","","","","",""
"TC-FEED-001","Feed Engine","Base feed = 1.5 kg on DOC 1 for 100K seed","1. Pond: 100K seed, Hatchery Small, DOC=1 | 2. Navigate to Feed tab","Feed = 1.5 kg; 2 meals; 0.75 kg per meal; no tray or FCR corrections applied (blind phase)","P0","S1","","","","","",""
"TC-FEED-002","Feed Engine","Density scaling: 300K seed produces 4.5 kg recommendation","1. Pond: 300K seed, Hatchery Small, DOC=1 | 2. Navigate to Feed tab","Feed = 4.5 kg (1.5 x 3.0 density factor); confirms density scaling formula applied correctly","P0","S1","","","","","",""
"TC-FEED-003","Feed Engine","Daily increment is +0.2 kg per day for DOC 1 through 7","1. Pond: 100K seed | 2. Observe feed recommendation at DOC 1 2 3 4 5 6 7","DOC1=1.5 DOC2=1.7 DOC3=1.9 DOC4=2.1 DOC5=2.3 DOC6=2.5 DOC7=2.7 kg; exact +0.2/day increment","P0","S1","","","","","",""
"TC-FEED-004","Feed Engine","Hard limit clamps feed at 50 kg for maximum seed count","1. Pond: 1000000 seed, DOC=25 | 2. Navigate to Feed tab","Feed clamped to 50.0 kg max (kAbsoluteMaxFeed); not the unclamped value; boundary confirmed","P0","S1","","","","","",""
"TC-FEED-005","Feed Engine","Feed round completion creates feed_log entry in DB","1. Pond at DOC=10 | 2. Complete Round 1 with 2.1 kg | 3. Observe feed history","feed_logs row inserted: pond_id, doc=10, round=1, feed_given=2.1; status = Completed; history updated","P0","S1","","","","","",""
"TC-FEED-006","Feed Engine","Double-tap on Complete creates only one feed_log","1. Tap Complete Round 1 | 2. Tap again before navigation/response | 3. Wait for both requests","Exactly 1 feed_log row in DB; second RPC call returns operationDuplicate=true or alreadyCompleted=true","P0","S1","","","","","",""
"TC-FEED-007","Feed Engine","Ramp mode applies 0.75 factor at DOC 31","1. PRO user, DOC=31, no tray or water data | 2. Navigate to Feed tab","Feed = blind_base(DOC31) x 0.75; no cliff from DOC 30 to 31; ramp factor visible in breakdown","P1","S1","","","","","",""
"TC-FEED-008","Feed Engine","Daily cumulative total correctly sums all round logs","1. Log 4 rounds at DOC=10 (2.1 kg each) | 2. View Feed History screen","DOC 10 daily total = 8.4 kg; last-row-wins not incorrectly applied to different rounds","P1","S2","","","","","",""
"TC-FEED-009","Feed Engine","Manual override updates tomorrow's continuity guard","1. Complete round with manual amount 2.5 kg when recommendation = 3.0 kg | 2. Submit","feed_logs records actual=2.5 base=3.0; tomorrow's continuity guard clamp uses 2.5 kg actual not 3.0","P1","S2","","","","","",""
"TC-FEED-010","Feed Engine","Continuity guard clamps extreme jumps to +/-30%","1. Yesterday actual=5.0 kg | 2. Engine calculates 8.0 kg for today | 3. View Feed tab recommendation","Recommendation = 6.5 kg (5.0 x 1.30 maximum); not 8.0 kg; clamp confirmed in breakdown","P2","S2","","","","","",""
"TC-SMART-001","Smart Feed","FREE user blocked from all smart corrections","1. FREE plan user, DOC=40, all-Empty trays, DO=6.5 | 2. Navigate to Feed tab","Base feed only; no tray/FCR/env corrections applied; upgrade prompt visible; MAINTAIN forced","P0","S1","","","","","",""
"TC-SMART-002","Smart Feed","PRO corrections compound multiplicatively not additively","1. PRO, DOC=45, tray=INCREASE(+5%), FCR=1.3(+5%), env=normal | 2. Read recommendation","Final = base x 1.05 x 1.05 = 1.1025x base; breakdown shows each factor separately","P0","S1","","","","","",""
"TC-SMART-003","Smart Feed","DO below 3.5 triggers STOP FEEDING for all rounds","1. PRO, DOC=50, water_log DO=3.2 mg/L | 2. Navigate to Feed tab","All rounds show 0.0 kg; STOP FEEDING alert visible explaining critically low DO","P0","S1","","","","","",""
"TC-SMART-004","Smart Feed","Temperature above 36 degrees triggers STOP FEEDING","1. PRO, DOC=40, water_log temp=37 degrees C | 2. Navigate to Feed tab","All rounds show 0.0 kg; temperature warning visible; same behavior as critical DO","P0","S1","","","","","",""
"TC-SMART-005","Smart Feed","Water data older than 48 hours uses safe defaults not STOP","1. PRO, DOC=40, last water log 50 hours ago | 2. Navigate to Feed tab","Safe defaults applied: DO=6.0 T=28 NH3=0.05; feed NOT stopped; stale water warning banner shown","P1","S1","","","","","",""
"TC-SMART-006","Smart Feed","High FCR above 1.5 reduces feed recommendation by 15%","1. PRO, DOC=60, FCR=1.6 computed | 2. Navigate to Feed tab","Feed = base x 0.85 (-15% correction); FCR badge shown in red; breakdown shows FCR factor","P1","S2","","","","","",""
"TC-SMART-007","Smart Feed","Kill switch in app_config disables feed engine globally","1. Set app_config feed_kill_switch=true in Supabase | 2. Restart app | 3. Navigate to Feed tab","Recommendations disabled with safe message; manual logging still works; kill switch propagated","P1","S2","","","","","",""
"TC-SMART-008","Smart Feed","Global feed multiplier scales all pond recommendations","1. Set app_config global_feed_multiplier=1.1 | 2. Check recommendation for pond (base=5.3 kg)","Recommendation = 5.3 x 1.1 = 5.83 kg; multiplier applied across all ponds and users","P2","S3","","","","","",""
"TC-TRAY-001","Tray Logic","All-Empty trays produce INCREASE decision of +5%","1. PRO, DOC=40, 4 trays | 2. Log 3 consecutive sessions all-Empty | 3. Check Feed tab","avg_score=1.0 >= 0.6 threshold; INCREASE decision; feed = base x 1.05; breakdown shows +5%","P0","S1","","","","","",""
"TC-TRAY-002","Tray Logic","All-Heavy trays produce REDUCE decision of -10%","1. PRO, DOC=40, 4 trays | 2. Log 3 consecutive sessions all-Heavy | 3. Check Feed tab","avg_score=-1.0 <= -0.6 threshold; REDUCE decision; feed = base x 0.90; breakdown shows -10%","P0","S1","","","","","",""
"TC-TRAY-003","Tray Logic","Mixed trays produce MAINTAIN via noise absorption","1. PRO, DOC=40 | 2. Log 3 sessions each with 2 Empty + 2 Heavy | 3. Check Feed","avg_score=0.0; within plus/minus 0.6 threshold; MAINTAIN; feed unchanged from base","P0","S1","","","","","",""
"TC-TRAY-004","Tray Logic","Fewer than 4 trays forces MAINTAIN regardless of scores","1. PRO, pond configured with 3 trays, DOC=40 | 2. Log 3 all-Empty sessions | 3. Check Feed","MAINTAIN forced; insufficient tray count message in breakdown; no increase despite all-Empty","P1","S2","","","","","",""
"TC-TRAY-005","Tray Logic","Tray wizard back navigation requires confirmation to discard","1. Open tray wizard | 2. Log Tray 1 as Empty | 3. Navigate to Tray 2 | 4. Press Back button","Confirmation dialog: Discard? Yes = wizard closes no data saved; No = returns to Tray 2 state","P1","S2","","","","","",""
"TC-TRAY-006","Tray Logic","Consecutive INCREASE dampened from +5% to +3%","1. PRO, DOC=45, previous day decision was INCREASE | 2. Today: log all-Empty trays again","Second consecutive INCREASE dampened to +3% not +5%; dampen rule in tray_decision_engine confirmed","P1","S2","","","","","",""
"TC-TRAY-007","Tray Logic","DOC 30 and below ignores tray signal for any plan","1. PRO, DOC=28 | 2. Log 3 sessions all-Empty | 3. Check Feed tab","MAINTAIN forced; blind phase rule overrides tray signal regardless of PRO subscription","P2","S2","","","","","",""
"TC-TRAY-008","Tray Logic","Rolling window uses only the last 3 tray sessions","1. Log 5 sessions: first 2 all-Heavy then last 3 all-Empty | 2. Check Feed tab","Only last 3 sessions used; avg_score=1.0; INCREASE applied; first 2 Heavy sessions excluded","P2","S3","","","","","",""
"TC-SAMP-001","Sampling","ABW calculated correctly from weight and piece count","1. Navigate to Growth sampling screen | 2. Enter weight=50g pieces=10 | 3. Submit","ABW = 5.0g (50 divided by 10); saved with correct DOC; samplings table row inserted","P1","S2","","","","","",""
"TC-SAMP-002","Sampling","Duplicate sample for same DOC blocked by constraint","1. Sample already logged for DOC=30 | 2. Attempt another sample for same DOC=30","Error shown: already logged for this DOC; or existing record updated; no silent duplicate in DB","P1","S2","","","","","",""
"TC-SAMP-003","Sampling","Sample older than 7 days treated as stale","1. Sample logged 8 days ago | 2. Navigate to Growth tab | 3. Navigate to Feed tab","ABW signal disabled; expected ABW table used instead; FCR not computed; stale warning banner shown","P1","S2","","","","","",""
"TC-SAMP-004","Sampling","Fresh sample at DOC 40+ enables intelligent feed mode","1. PRO, DOC=45 | 2. Log sample with ABW=10g today | 3. Navigate to Feed tab","Feed mode shows Intelligent; actual ABW drives FCR calculation; breakdown confirms sampled ABW used","P2","S3","","","","","",""
"TC-SAMP-005","Sampling","Zero piece count rejected before reaching engine","1. Enter total weight=50g piece count=0 | 2. Tap Submit","Validation error: piece count must be at least 1; form not submitted; no division by zero risk","P2","S2","","","","","",""
"TC-ABW-001","ABW Engine","Expected ABW linearly interpolated from reference table","1. No sampling data exists | 2. Pond at DOC=45 | 3. View Growth tab","ABW = 13.5g interpolated (5.0 + 0.5 x 17.0); labeled as Expected not Sampled","P1","S2","","","","","",""
"TC-ABW-002","ABW Engine","Sampled ABW overrides expected reference value","1. DOC=45 expected=13.5g | 2. Log sample ABW=11g | 3. View dashboard and Feed tab","Dashboard shows 11g labeled Sampled; FCR and feed engine use 11g; expected value not used","P1","S1","","","","","",""
"TC-ABW-003","ABW Engine","Zero total weight input rejected to prevent engine errors","1. Enter total weight=0g piece count=10 | 2. Submit","Validation error: total weight must be greater than 0; engine not called; no ABW=0 stored","P2","S2","","","","","",""
"TC-ABW-004","ABW Engine","ABW trend chart renders multi-session history correctly","1. Log 5 samples at DOC 10 20 30 40 50 with values 0.5 2 5 8 12g | 2. View Growth tab","Chart shows 5 ascending data points; expected reference line separate from actual; no rendering error","P2","S3","","","","","",""
"TC-FCR-001","FCR Engine","Correct FCR formula: 1800 kg feed / 1620 kg biomass = 1.11","1. PRO, seed=100K, ABW=18g, total_feed=1800 kg | 2. View Overview tab","biomass=1620 kg; FCR=1.11; adjustment=+10% for FCR between 1.0 and 1.2","P0","S1","","","","","",""
"TC-FCR-002","FCR Engine","FCR below 0.5 discarded as corrupted data","1. Create conditions where FCR computes to < 0.5 | 2. View Feed tab","FCR correction = 0%; no crash; base feed used; corrupted value not applied","P0","S1","","","","","",""
"TC-FCR-003","FCR Engine","Biomass below 1 kg guard prevents division errors","1. Pond: 1000 seed, DOC=5, ABW=0.1g | 2. View Feed tab","FCR not computed; biomass < 1.0 kg guard triggers; no division error; base engine continues","P0","S1","","","","","",""
"TC-FCR-004","FCR Engine","FCR at or below 1.0 triggers +15% feed increase","1. PRO, FCR=0.8 computed | 2. View Feed tab","+15% correction applied; breakdown shows FCR exceptional performance; feed higher than base","P1","S2","","","","","",""
"TC-FCR-005","FCR Engine","FCR above 1.5 triggers -15% feed decrease","1. PRO, FCR=1.6 computed | 2. View Feed tab","-15% correction applied; FCR badge shown in red; breakdown shows reduction factor","P1","S2","","","","","",""
"TC-FCR-006","FCR Engine","FCR recalculates when new ABW sample is logged","1. FCR previously computed with ABW=12g | 2. Log new sample ABW=15g | 3. View Feed tab","FCR recalculates using 15g; new value shown; old ABW-based value no longer displayed","P1","S2","","","","","",""
"TC-FCR-007","FCR Engine","Last-row-wins resolves duplicate feed log entries","1. DOC=20 Round 1 has two rows in feed_logs: 3.0 kg then 2.8 kg | 2. Check FCR daily total","FCR uses 2.8 kg (last row authoritative); not 3.0 and not 5.8; RPC upsert behavior confirmed","P2","S2","","","","","",""
"TC-FCR-008","FCR Engine","FCR shows N/A when not computable","1. Stale ABW or biomass < 1 kg condition | 2. Navigate to Overview tab","FCR shows N/A or em-dash; not 0.00 or null; color coding: green <=1.3 yellow 1.3-1.5 red >1.5","P2","S3","","","","","",""
"TC-DASH-001","Dashboard","Pond card KPIs match pond dashboard Overview tab","1. Pond at DOC=30 ABW=5g FCR=1.3 | 2. View HomeScreen pond card and Overview tab","Card shows DOC=30 ABW=5.0g FCR=1.30; all values match Overview tab exactly; no staleness","P1","S2","","","","","",""
"TC-DASH-002","Dashboard","Farm-level KPIs correctly aggregate all active ponds","1. Pond A: feed=500 kg revenue=50000 | 2. Pond B: feed=300 kg revenue=30000 | 3. View HomeScreen","Total feed=800 kg; total revenue=80000; correct sum; 0-revenue ponds handled without crash","P1","S2","","","","","",""
"TC-DASH-003","Dashboard","Empty state shown correctly when farm has no ponds","1. Farm exists but has 0 ponds | 2. Navigate to HomeScreen","Illustration + Add Pond CTA shown; no crash; no null text; no blank white screen","P2","S2","","","","","",""
"TC-DASH-004","Dashboard","Feed trend card shows 7-day history accurately","1. 7 consecutive days of feed logged | 2. View Feed Trend card on HomeScreen","7-bar chart with correct daily totals; today highlighted; zero-feed days show empty bar not missing bar","P2","S3","","","","","",""
"TC-DASH-005","Dashboard","Biomass estimation uses correct formula on Overview","1. Pond: seed=200000 ABW=8g | 2. Navigate to Pond Dashboard Overview tab","Biomass = 1440 kg (200K x 0.90 x 0.008); displayed with 90% survival assumption noted","P2","S3","","","","","",""
"TC-COST-001","Cost Tracking","Log feed expense saves to correct category","1. Tap Add Expense | 2. Set category=Feed amount=12500 notes=5 bags Higashimaru date=today | 3. Submit","Expense saved; category=feed amount=12500; monthly total updates; expenses table row inserted","P1","S2","","","","","",""
"TC-COST-002","Cost Tracking","Monthly expense aggregation groups by week correctly","1. Log 3 expenses in current month: 10000 + 5000 + 2000 | 2. View Monthly tab","Total = 17000; category breakdown correct; weekly subtotals correct; no cross-month leakage","P1","S2","","","","","",""
"TC-COST-003","Cost Tracking","Feed completion auto-deducts inventory stock","1. Inventory = 100 kg feed | 2. Complete feed round of 4.5 kg | 3. View Inventory Dashboard","Stock reduced to 95.5 kg; inventory_consumption row inserted with quantity=4.5 source=feed_round","P1","S3","","","","","",""
"TC-COST-004","Cost Tracking","Low stock warning appears when below 20 kg threshold","1. Set inventory item to 15 kg | 2. View Inventory Dashboard","Warning indicator visible on item row; threshold is strictly below 20 kg; 20 kg exactly does not trigger","P2","S3","","","","","",""
"TC-COST-005","Cost Tracking","Profit equals harvest revenue minus all expenses","1. Total expenses=105000; harvest=3000 kg x 200 per kg | 2. View Profit Summary","Profit = 495000; cost per kg = 35; margin = 82.5%; both scoped to same crop_id","P2","S3","","","","","",""
"TC-SYNC-001","Sync/Offline","Feed round queued to FeedSyncQueue when offline","1. Enable airplane mode | 2. Navigate to Feed tab | 3. Complete feed round (4.5 kg)","Round shows Completed (optimistic UI); 1 pending operation in FeedSyncQueue; no crash or error dialog","P0","S1","","","","","",""
"TC-SYNC-002","Sync/Offline","Queued round syncs automatically within 30s of reconnect","1. Offline feed round queued | 2. Disable airplane mode | 3. Wait 30 seconds","feed_logs row inserted; queue cleared; warning bar (if shown) disappears; no manual action needed","P0","S1","","","","","",""
"TC-SYNC-003","Sync/Offline","No duplicate feed_log created on sync replay","1. Queue feed round offline | 2. Simulate partial sync failure | 3. Allow full sync to succeed","Exactly 1 feed_log row in DB; second RPC call returns operationDuplicate=true; no double-counting","P0","S1","","","","","",""
"TC-SYNC-004","Sync/Offline","Exponential backoff fires at correct intervals with jitter","1. Configure server to return 500 errors | 2. Observe retry timing in app logs","Retries at approximately 5s 10s 20s 40s 80s each with plus/minus 20% jitter visible","P1","S2","","","","","",""
"TC-SYNC-005","Sync/Offline","Permanent failure state shown after 5 failed retry attempts","1. Force 5 consecutive sync failures via persistent server errors","Operation marked failed; warning bar shows permanent failure state; farmer notified; no further auto-retry","P1","S2","","","","","",""
"TC-SYNC-006","Sync/Offline","Offline queue survives app force-kill","1. Queue feed round while offline | 2. Force-close app | 3. Reconnect to network | 4. Relaunch app","Queue retained in SharedPreferences; startup replay triggers; feed_logs row created within 30s","P1","S1","","","","","",""
"TC-SYNC-007","Sync/Offline","Synced operations pruned after 24 hours","1. 10 operations synced successfully 25 hours ago | 2. Trigger processQueue on app start","Synced ops pruned from SharedPrefs; failed ops retained for audit; queue storage size reduced","P2","S3","","","","","",""
"TC-MULTI-001","Multi-Pond","Feed recommendations are independent per pond","1. Pond A: DOC=20 seed=100K | 2. Pond B: DOC=45 seed=200K PRO | 3. Compare Feed tab recommendations","Each pond uses own DOC and seed count; different amounts shown; no data cross-contamination","P1","S1","","","","","",""
"TC-MULTI-002","Multi-Pond","Completing feed on Pond A does not affect Pond B","1. Pond A DOC=15 Pond B DOC=30 | 2. Complete Round 1 on Pond A | 3. Navigate to Pond B Feed tab","Pond B rounds still show Planned; Pond A completion isolated to its feedHistoryProvider family instance","P1","S1","","","","","",""
"TC-MULTI-003","Multi-Pond","HomeScreen shows all ponds with accurate individual data","1. Farm with 3 ponds: different DOC ABW status | 2. View HomeScreen","All 3 cards visible; each card shows its own correct data; no mixing; loading states per card","P2","S2","","","","","",""
"TC-MULTI-004","Multi-Pond","Tray logs are correctly scoped to each individual pond","1. Log tray data for Pond A (all-Empty) | 2. Navigate to Pond B Trays tab","Pond B shows its own separate tray history; Pond A tray data not visible in Pond B","P2","S1","","","","","",""
"TC-MULTI-005","Multi-Pond","Offline queue handles simultaneous operations on multiple ponds","1. Offline: Round 1 for Pond A + Round 2 for Pond B | 2. Reconnect to network","Both operations sync independently; correct feed_log rows per pond; no cross-pond rows created","P2","S2","","","","","",""
"TC-ROLE-001","Role Access","PRO user can add farm member with Worker role","1. PRO user | 2. Navigate to Farm Settings | 3. Tap Add Member | 4. Enter email and select Worker role","farm_members row inserted with correct role; member visible in team list; invitation sent","P1","S3","","","","","",""
"TC-ROLE-002","Role Access","FREE user blocked from adding team members","1. FREE user | 2. Navigate to Farm Settings | 3. Tap Add Member","role_limit_bottom_sheet shown before form; add-member form not accessible; upgrade CTA visible","P1","S2","","","","","",""
"TC-ROLE-003","Role Access","Worker role cannot access admin or PRO actions","1. Log in as Worker role account | 2. Attempt: delete pond delete farm view profit manage billing","Delete and billing and profit not accessible to worker; feed logging and tray logging work","P2","S2","","","","","",""
"TC-ROLE-004","Role Access","Farm owner retains full permissions on PRO plan","1. PRO farm owner | 2. Attempt all admin actions: delete pond view profit manage members change billing","All actions succeed; owner not restricted by farm_members entry; farms.user_id is authoritative","P2","S2","","","","","",""
"TC-SUB-001","Subscription","PRO subscription activates via Razorpay payment flow","1. FREE user | 2. Navigate to Upgrade screen | 3. Select PRO plan | 4. Complete Razorpay test payment","Subscription activated; subscriptions table row inserted; get_active_entitlement returns PRO; smart feed unlocked","P0","S1","","","","","",""
"TC-SUB-002","Subscription","Server entitlement is authoritative over local state","1. Manually modify local subscription state | 2. Server returns FREE on entitlement check | 3. Navigate to smart feed","App shows FREE features only; server overrides local state; no bypass possible via client","P0","S1","","","","","",""
"TC-SUB-003","Subscription","Payment failure keeps user on FREE and shows friendly error","1. Initiate payment | 2. Use Razorpay test failure card","Friendly error message shown; user remains on FREE plan; no partial subscription in DB","P0","S1","","","","","",""
"TC-SUB-004","Subscription","Expired subscription downgrades app to FREE on next launch","1. Set subscriptions.expires_at = yesterday in Supabase | 2. Launch app","FREE features shown; smart feed locked; expiry message displayed; downgrade is graceful","P1","S1","","","","","",""
"TC-SUB-005","Subscription","Boot race: hydrationFuture protects PRO gate during loading","1. PRO user with simulated slow network | 2. Navigate to Feed before hydration completes","PRO features hidden until hydrationFuture resolves; no flash of PRO state before confirmation","P1","S2","","","","","",""
"TC-SUB-006","Subscription","Upgrade screen shows correct features and pricing","1. FREE user | 2. Navigate to Upgrade screen | 3. Toggle billing cycle (per crop vs yearly)","Correct feature comparison list; price updates on toggle; CTA button functional; legal text visible","P2","S3","","","","","",""
"TC-DATA-001","Data Persistence","Feed logs survive app force-close and relaunch","1. Complete 3 feed rounds | 2. Force-close app | 3. Relaunch | 4. View Feed History","All 3 rounds visible in history; no data loss; Supabase confirmed as source of truth not local cache","P0","S1","","","","","",""
"TC-DATA-002","Data Persistence","ABW sample drives next session feed recommendation","1. Log sample ABW=12g | 2. Force-close app | 3. Relaunch | 4. View Growth and Feed tabs","ABW=12g shown; engine uses 12g for recommendation; no re-entry required after restart","P1","S1","","","","","",""
"TC-DATA-003","Data Persistence","Offline queue survives app force-kill and persists","1. Queue feed round while offline | 2. Force-close app | 3. Relaunch while still offline | 4. Check queue","Queue retained in SharedPreferences; pending operation still present; syncs when reconnected","P1","S1","","","","","",""
"TC-DATA-004","Data Persistence","Expenses are scoped to current crop cycle only","1. Log expense in Cycle 1 | 2. Start Cycle 2 via new cycle setup | 3. View Cycle 2 expenses","Cycle 2 shows empty or zero expenses; Cycle 1 data not leaked; both filtered by crop_id","P2","S2","","","","","",""
"TC-API-001","API Failure","Feed RPC 503 error routes operation to offline queue","1. Configure server to return 503 for complete_feed_round RPC | 2. Complete feed round","Op queued in FeedSyncQueue; UI shows Completed (optimistic); no error dialog shown; no crash","P0","S1","","","","","",""
"TC-API-002","API Failure","Pond creation 500 error results in clean rollback","1. Configure server to return 500 for create_pond_with_feed_plan RPC | 2. Submit pond form","Error shown with retry option; form values preserved; no partial pond in DB; same operationId on retry","P1","S1","","","","","",""
"TC-API-003","API Failure","Entitlement check failure defaults safely to FREE","1. Configure get_active_entitlement RPC to return error | 2. Navigate to smart feed features","App defaults to FREE behavior; no PRO features shown; no crash; all FREE features functional","P1","S1","","","","","",""
"TC-API-004","API Failure","Farm list query failure shows error state with retry","1. Configure farms query to return error after successful login","Loading state transitions to error state with Retry button; no crash; auth session preserved","P1","S2","","","","","",""
